naziv,iso_3116_alpha_3,glavni_grad,jezici,valuta,pozivni_broj,top_level_domena,naziv_himne,povrsina,strana_voznje,wikipedia_handle
Palau,PLW,Ngerulmud,"[{""iso_639"":""eng"",""naziv"":""engleski""},{""iso_639"":""pau"",""naziv"":""palauski""},{""iso_639"":""jpn"",""naziv"":""japanski""},{""iso_639"":""tox"",""naziv"":""tobijski""},{""iso_639"":""sov"",""naziv"":""sonsorolezijski""}]",USD,+680,.pw,Belau rekid,459,desna,Palau
Honduras,HND,Tegucigalpa,"[{""iso_639"":""spa"",""naziv"":""španjolski""}]",HNL,+504,.hn,Himno Nacional de Honduras,112492,desna,Honduras
Novi Zeland,NZL,Wellington,"[{""iso_639"":""eng"",""naziv"":""engleski""},{""iso_639"":""mri"",""naziv"":""maorski""},{""iso_639"":""nzs"",""naziv"":""novozelandski znakovni""}]",NZD,+64,.nz,God Defend New Zealand,268021,lijeva,New_Zealand
Ekvador,ECU,Quito,"[{""iso_639"":""spa"",""naziv"":""španjolski""}]",USD,+593,.ec,"Salve, Oh Patria",283561,desna,Ecuador
